PO_ID,PO_Date,Vendor_Name,Vendor_Category,Business_Unit,Cost_Center,Item_Category,Quantity,Unit_Price,Currency,Payment_Terms,PO_Status,Buyer,Region,Total_PO_Amount
PO100000,12-04-2024,Zenith Traders,IT Hardware,Operations,CC1001,Software License,12,27487,INR,Net 60,Closed,S Nair,EMEA,329844
PO100001,14-12-2024,Delta Services,Logistics,HR,CC1001,Consulting,23,13678,INR,Net 45,Open,K Iyer,India,314594
PO100002,27-09-2024,Omega Corp,Facilities,IT,CC2001,Server,12,39838,INR,Net 60,Open,P Verma,India,478056
PO100003,16-04-2024,Prime Vendors,Professional Services,Finance,CC2001,Laptop,13,25096,USD,Net 60,Cancelled,R Sharma,EMEA,326248
PO100004,12-03-2024,ABC Supplies,Logistics,Sales,CC3001,Office Supplies,25,33674,USD,Net 60,Closed,P Verma,EMEA,841850
PO100005,07-07-2024,ABC Supplies,Professional Services,HR,CC1001,Office Supplies,45,42474,USD,Net 60,Closed,A Mehta,India,1911330
PO100006,21-01-2024,Omega Corp,IT Hardware,Operations,CC1001,Software License,19,4931,INR,Net 30,Closed,S Nair,EMEA,93689
PO100007,12-04-2024,Prime Vendors,Professional Services,Manufacturing,CC3001,Office Supplies,46,28264,INR,Net 45,Closed,S Nair,APAC,1300144
PO100008,01-05-2024,Prime Vendors,Professional Services,HR,CC1003,Consulting,36,22127,USD,Net 60,Open,A Mehta,North America,796572
PO100009,02-08-2024,Zenith Traders,IT Software,Finance,CC1003,Consulting,45,39810,USD,Net 30,Closed,K Iyer,North America,1791450
PO100010,26-11-2024,Zenith Traders,IT Software,Operations,CC1003,Software License,8,9406,USD,Net 30,Open,K Iyer,North America,75248
PO100011,28-03-2024,Zenith Traders,IT Software,IT,CC3001,Consulting,29,37414,INR,Net 30,Closed,S Nair,APAC,1085006
PO100012,09-04-2024,Zenith Traders,Professional Services,HR,CC1001,Server,32,45314,USD,Net 60,Closed,S Nair,EMEA,1450048
PO100013,25-12-2024,Zenith Traders,Facilities,Finance,CC3001,Software License,44,45879,USD,Net 60,Closed,R Sharma,EMEA,2018676
PO100014,31-05-2024,Zenith Traders,Professional Services,Sales,CC3001,Server,18,13576,INR,Net 45,Closed,K Iyer,India,244368
PO100015,10-05-2024,Delta Services,Facilities,Manufacturing,CC1003,Laptop,6,49792,USD,Net 60,Closed,A Mehta,EMEA,298752
PO100016,29-05-2024,Prime Vendors,Facilities,Operations,CC1002,Server,18,38150,INR,Net 60,Open,K Iyer,India,686700
PO100017,04-11-2024,Zenith Traders,IT Software,HR,CC1001,Laptop,19,47381,INR,Net 30,Closed,R Sharma,APAC,900239
PO100018,14-09-2024,Prime Vendors,Logistics,HR,CC1003,Laptop,22,46913,INR,Net 45,Open,S Nair,North America,1032086
PO100019,09-12-2024,Prime Vendors,IT Hardware,IT,CC1002,Server,37,6512,USD,Net 60,Open,S Nair,North America,240944
PO100020,20-10-2024,Global Tech,IT Software,IT,CC1002,Software License,32,7651,USD,Net 60,Open,R Sharma,North America,244832
PO100021,10-07-2024,Delta Services,IT Software,Sales,CC2001,Consulting,41,28711,INR,Net 30,Closed,A Mehta,EMEA,1177151
PO100022,03-10-2024,Zenith Traders,Logistics,Manufacturing,CC1001,Consulting,3,27617,USD,Net 30,Closed,S Nair,India,82851
PO100023,09-06-2024,ABC Supplies,IT Hardware,Sales,CC1002,Laptop,28,36878,USD,Net 60,Open,P Verma,India,1032584
PO100024,09-11-2024,Omega Corp,Professional Services,Finance,CC1003,Laptop,10,43152,USD,Net 45,Closed,S Nair,APAC,431520
PO100025,22-01-2024,ABC Supplies,Professional Services,Finance,CC2001,Software License,35,7394,USD,Net 45,Closed,P Verma,EMEA,258790
PO100026,09-09-2024,Delta Services,IT Software,Sales,CC1001,Office Supplies,29,13967,INR,Net 30,Open,R Sharma,APAC,405043
PO100027,23-08-2024,Omega Corp,IT Hardware,Manufacturing,CC3001,Server,15,31510,USD,Net 30,Closed,R Sharma,India,472650
PO100028,10-12-2024,Delta Services,IT Software,Sales,CC1003,Laptop,33,49757,INR,Net 60,Closed,S Nair,India,1641981
PO100029,18-02-2024,Prime Vendors,Facilities,Manufacturing,CC1002,Consulting,7,43141,INR,Net 30,Closed,K Iyer,North America,301987
PO100030,28-02-2024,Omega Corp,IT Software,Manufacturing,CC1002,Software License,12,12789,USD,Net 60,Closed,P Verma,EMEA,153468
PO100031,18-06-2024,Prime Vendors,IT Software,Operations,CC1003,Server,49,45476,INR,Net 45,Open,A Mehta,India,2228324
