date,total_inflows,total_outflows,net_liquidity_position,alm_gap,cumulative_alm_gap,liquidity_coverage_ratio,funding_stress_flag,liquidity_risk_score,repo_rate,cp_rate,rate_spread,market_stress_flag
2022-01-01,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,66301559496.605316,16.29979846698477,0,582776.3895232572,4.93,7.7,2.7700000000000005,1
2022-01-02,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,132603118993.21063,16.29979846698477,0,580952.0200985487,5.11,6.6,1.4899999999999993,0
2022-01-03,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,198904678489.81595,16.29979846698477,0,602799.5274251403,5.17,8.79,3.619999999999999,1
2022-01-04,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,265206237986.42126,16.29979846698477,0,560282.1211620265,4.78,7.35,2.5699999999999994,0
2022-01-05,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,331507797483.0266,16.29979846698477,0,587651.8436600532,6.92,6.08,-0.8399999999999999,0
2022-01-06,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,397809356979.63196,16.29979846698477,0,561646.3477402945,5.71,7.46,1.75,1
2022-01-07,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,464110916476.2373,16.29979846698477,0,605409.4282410576,5.55,7.87,2.3200000000000003,0
2022-01-08,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,530412475972.84265,16.29979846698477,0,633443.8719865924,5.31,7.59,2.2800000000000002,1
2022-01-09,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,596714035469.448,16.29979846698477,0,624678.3267907674,5.68,5.69,0.010000000000000675,1
2022-01-10,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,663015594966.0533,16.29979846698477,0,603788.5787878023,6.84,8.54,1.6999999999999993,1
2022-01-11,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,729317154462.6587,16.29979846698477,0,582147.878998924,5.26,6.92,1.6600000000000001,0
2022-01-12,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,795618713959.264,16.29979846698477,0,597099.6634122393,4.56,5.52,0.96,1
2022-01-13,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,861920273455.8694,16.29979846698477,0,619600.6845699409,5.08,5.9,0.8200000000000003,1
2022-01-14,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,928221832952.4747,16.29979846698477,0,596853.6847637359,6.67,6.51,-0.16000000000000014,0
2022-01-15,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,994523392449.0801,16.29979846698477,0,606722.8887056127,5.0,6.07,1.0700000000000003,0
2022-01-16,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,1060824951945.6854,16.29979846698477,0,589605.2600182459,6.52,6.19,-0.3299999999999992,0
2022-01-17,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,1127126511442.2908,16.29979846698477,0,626978.4334918619,5.68,8.18,2.5,0
2022-01-18,70635051838.98332,4333492342.378008,66301559496.605316,66301559496.605316,1193428070938.896,16.29979846698477,0,612462.9969894682,6.93,8.2,1.2699999999999996,1
